,acc_num,eppi_id,short_title,title,journal,year,date_assessed,include,reason,country,geographic_region,site_details,comparator,wetland_class,saline_or_freshwater,disturbance_category,disturbance_type,restoration_time_period,restoration_activity,time_since_restoration
26,A37,79,Bart and Davenport 2015,The influence of legacy impacted seed banks on vegetation recovery in a post-agricultural fen complex,Wetlands Ecol Manage,2015,29-Nov-23,Y,,USA,Wisconsin,Vail-Farm,"Reference, Restored",fen,freshwater,Agriculture and aquaculture,Agricultural conversion,1998,Tile drains broken,13 years
27,A40,83,Bartolucci et al 2021,Restoration of retired agricultural land to wetland mitigates greenhouse gas emissions,,2021,29-Nov-23,Y,,USA,Massachusetts,"Mass Audubon Tidmarsh Wildlife Sanctuary, Eel River, Sphagnum Bog (ref)","Reference, Restored",bog,freshwater,Agriculture and aquaculture,Cranberry farm,2010 and 2015,"MATWS: Dams and water control structures removed, culvert replaced/stream channel restored, large trunks/pieces distributed, and 30k wetland species were planted, Eel River: removal of dam and restoral of original hydrology"," 1 year (MATWS), 6 years (Eel River)"
28,A41,86,Basiliko et al 2013,"Controls on bacterial and archaeal community structure and greenhouse gas production in natural, mined, and restored Canadian peatlands",Frontiers in Microbiology,2015,30-Nov-23,Y,,Canada,"Quebec, New Brunswick","Riviere du Loup (QC), Shippagan (NB)","Reference, Restored",peatland,freshwater,Biological resource use,Mined for peat,Unclear,Abandonment or re-flooding,30 years
29,A43,90,Bauer et al 2003,Mycorrhizal colonization across hydrologic gradients in restored and reference freshwater wetlands,Wetlands,2003,30-Nov-23,Y,,USA,Indiana,NA,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,Agriculture,1994,Removed drainage tiles,4 years
30,A47,98,Beas 2011,Chapter 2: SEED BANK RESPONSES TO WETLAND RESTORATION: DO RESTORED WETLANDS RESEMBLE REFERENCE CONDITIONS FOLLOWING SEDIMENT REMOVAL?,PhD Thesis,2011,30-Nov-23,Y,See Beas et al. 2011,,,,,,,,,,,
31,A48,99,Beas et al 2011,Effects of sediment removal on vegetation communities in Rainwater Basin playa wetlands,Journal of Environmental Management,2011,30-Nov-23,Y,,USA,Nebraska,Central Loess Plains,"Disturbed, Restored, Reference",marsh,freshwater,Agriculture and aquaculture,Agriculture,1997-2008,Removing sediment and grading wetland to restore hydrology,1-12 years
32,A49,100,Beas et al. 2013,Seed bank responses to wetland restoration: Do restored wetlands resemble reference conditions following sediment removal?,Aquatic Botany,2013,30-Nov-23,Y,,USA,Nebraska,Central Loess Plains,"Disturbed, Restored, Reference",marsh,freshwater,Agriculture and aquaculture,Agriculture,1997-2008,Removing sediment and grading wetland to restore hydrology,1-12 years
33,A50,101,Beas and Smith 2014,Amphibian Community Responses to Playa Restoration in the Rainwater Basin,Wetlands,2014,30-Nov-23,Y,,USA,Nebraska,Central Loess Plains,"Disturbed, Restored, Reference",marsh,freshwater,Agriculture and aquaculture,Agriculture,1997-2008,Removing sediment and grading wetland to restore hydrology,2-11 years
34,A51,105,Begley et al 2012,"A COMPARISON OF RESTORED AND NATURAL WETLANDS AS HABITAT FOR BIRDS IN THE PRAIRIE POTHOLE REGION OF SASKATCHEWAN, CANADA",The Raffles Bulletin of Zoology,2012,30-Nov-23,Y,,Canada,Saskatchewan,Prairie Pothole Region,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,Agriculture,1992-1997,Ditch plugs,3-8 years
35,A52,106,Belleveau et al 2015,Vegetation Community Response to Tidal Marsh Restoration of a Large River Estuary,Northwest Science,2015,30-Nov-23,Y,,USA,Washington,Puget Sound,"Reference, Restored",marsh,freshwater,Not specified,Not specified,"2002, 2006 and 2009",Dike removal,1-8 years
36,A56,113,Benson 2013,Chapter 1: Biodiversity and Habitat Value of US Federal Wetland Restorations on Private Property in Northern New York,PhD Thesis,2013,01-Dec-23,Y,,USA,New York,St Lawrence River Valley,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,Agriculture?,1988-2008?,Unclear,1-21 years
37,A59,120,Bernhard et al 2012,Increased Variability of Microbial Communities in Restored Salt Marshes nearly 30 Years After Tidal Flow Restoration,Estuaries and Coasts,2012,01-Dec-23,Y,,USA,Connecticut,Southeastern Connecticut,"Reference, Restored",marsh,freshwater,Natural system modification,Impoundment,1978-1991,Installed culverts,15-28 years
38,A60,124,Besasie and Buckley 2012,Carbon Sequestration Potential at Central Wisconsin Wetland Reserve Program Sites,Soil Science Society of America Journal,2012,06-Dec-23,Y,,USA,Wisconsin,central Wisconsin,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,Agriculture,1992-2009,Not stated,0-17 years
39,A62,129,Bienida and Strack 2021,"Steady and ebullitive methane fluxes from active, restored and unrestored horticultural peatlands",Ecological Engineering ,2021,06-Dec-23,Y,,Canada,Alberta,Seba Beach peatland complex,,peatland,freshwater,Biological resource use,Peat extraction,"1991, 2009, 2012","Moss layer transfer technique, ditches blocked/flooding",4-25 years
40,A65,143,Bonello and Judd 2020,Plant community recovery after herbicide management to remove Phragmites australis in Great Lakes coastal wetlands,Restoration Ecology,2020,06-Dec-23,Y,,USA,Detroit,Detroit River International Wildlife Refuge,"Disturbed, Restored",marsh,freshwater,Invasive and other problematic species/genes,Invasive species (Phragmites),2007 and 2011,Herbicide application (glyphosate-based herbicide),7-11 years
41,A68,152,Bortolotti et al 2016a,Prairie wetland communities recover at different rates following hydrological restoration,Freshwater Biology,2016,06-Dec-23,Y,,Canada,Saskatchewan,Prairie Pothole Region,"Reference, Restored",marsh,freshwater,Natural system modification,Drainage,1997-2010,Hydrological restoration; earthen  berms across drainage ditches,1-14 years
42,A69,153,Bortolotti et al 2016b,Net Ecosystem Production and Carbon Greenhouse Gas Fluxes in Three Prairie Wetlands,Ecosystem,2016,06-Dec-23,Y,,Canada,Saskatchewan,Prairie Pothole Region,"Reference, Restored",marsh,freshwater,Natural system modification,Drainage,1997-2010,Hydrological restoration; earthen  berms across drainage ditches,1-14 years
43,A70,154,Bortolotti et al 2019,Drivers of ecosystem metabolism in restored and natural prairie wetlands,Canadian Journal of Fisheries and Aquatic Sciences,2019,07-Dec-23,Y,,Canada,Saskatchewan,Prairie Pothole Region,"Reference, Restored",marsh,freshwater,Natural system modification,Drainage,1997-2010,Hydrological restoration; earthen  berms across drainage ditches,1-14 years
44,A74,165,Bowron et al 2011,Macro-Tidal Salt Marsh Ecosystem Response to Culvert Expansion,Restoration Ecology,2011,07-Dec-23,Y,,Canada,Nova Scotia,Bay of Fundy,"Reference, Restored",marsh,saline,Agriculture and aquaculture,"Diked, agriculture",2005,Restored tidal flow via new culverts,1-2 years
45,A83,182,Brown et al 1997,Macroinvertebrate responses to wetland restoration in northern New York,Community and Ecosystem Ecology,1997,08-Dec-23,Y,,USA,New York,Lake Ontario coastal plain,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,Drained for pasture and forage crops,1991,"Damming drainage ditches, builing berms to retain water",1-3 years
46,A84,183,Brown and Smith 1998,Breeding season bird use of recently restored versus natural wetlands in New York,J. Wildlife Management,1998,08-Dec-23,Y,,USA,New York,Lake Ontario coastal plain,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,Drained for pasture and forage crops,1991,"Damming drainage ditches, builing berms to retain water",1-3 years
47,A85,186,Brown 1999,Vegetation similarity and avifaunal food value of restored and natural marshes in northern New York,Restoration Ecology,1999,08-Dec-23,Y,,USA,New York,Lake Ontario coastal plain,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,Drained for pasture and forage crops,1991,"Damming drainage ditches, builing berms to retain water",0-3
48,A86,187,Brown and Norris 2018,Detecting soil and plant community changes in restored wetlands using a chronosequence approach,Wetlands Ecol Manage,2018,08-Dec-23,Y,,USA,New York,Lake Ontario coastal plain,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,Drained for pasture and forage crops,Varies,"Disabled drainage systems, excavating basins",0-15 years
49,A91,196,Buchsbaum et al 2006,"Changes in salt marsh vegetation, Phragmites australis, and nekton in response to increased tidal flushing in a new England salt marsh",Wetlands,2006,08-Dec-23,Y,,USA,Massachusetts,Great Marsh,"Reference, Restored",marsh,saline,Natural system modification,"Tidal restriction, invasive species",1998,Replaced culvert to increase tidal exchange and salinity,0-4
50,A95,206,Byers and Chmura 2007,Salt marsh vegetation recovery on the Bay of Fundy,Estuaries and Coasts,2007,08-Dec-23,Y,,Canada,Bay of Fundy,,"Reference, Restored",marsh,saline,Natural system modification,Dike,1947 and 1950s,Dikes were breached,50-58 years
51,A101,220,Caners and Lieffers 2014,"Divergent Pathways of Successional Recovery for In Situ Oil Sands Exploration Drilling Pads on Wooded Moderate-Rich Fens in Alberta, Canada",Restoration Ecology,2014,11-Dec-23,Y,,Canada,Alberta,Boreal Forest natural region,"Reference, Restored",fen,freshwater,Energy production and mining,Oil sand exploration drilling pads,2003,Windrows of peat redistributed and pad left to regenerate naturally,9-11 years
52,A102,221,Caners et al 2018,Habitat heterogeneity stimulates regeneration of bryophytes and vascular plants on disturbed minerotrophic peatlands,Canadian Journal of Forest Research,2018,11-Dec-23,Y,,Canada,Alberta,,"Reference, Restored",fen,freshwater,Energy production and mining,Oil sand exploration drilling pads,2013,Mounding by machinery and then left to regenerate naturally,4-5 years
53,A103,222,Carberry et al 2021,Surface Water Quality Differs between Functionally Similar Restored and Natural Wetlands of the Saint Lawrence River Valley in New York,Land,2021,11-Dec-23,Y,,USA,New York,St Lawrence River Valley,"Reference, Restored",marsh,freshwater,Not specified,Unclear,Unclear,"Removal of drainage tiles, blocking drainage ditches, excavation of potholes, creating dikes/berms, install water control structures",Unclear
54,A104,223,Card and Quideau 2010,Microbial community structure in restored riparian soils of the Canadian prairie pothole region,Soil Biology and Biochemistry,2010,11-Dec-23,Y,,Canada,Prairie Pothole Region,"Alberta, Saskatchewan, Manitoba (table 1)","Reference, Restored",marsh,freshwater,Agriculture and aquaculture,Agricultural drainage,1989-1997,Install ditch plug,3-11 years
55,A105,224,"Card et al., 2010",Carbon Characteristics in Restored and Reference Riparian Soils,Wetland Soils,2010,16-Jan-24,Y,,Canada,Prarie Pothole ,"southeastern Alberta, southern Saskatchewan and southwestern Manitoba","Reference, Restored",wetland,freshwater,Agriculture and aquaculture,Agricultural drainage,1989-1997,installing ditch plug,3-11 years
56,A106,225,"Card and Quideau, 2010",Microbial and organic matter characteristics of restored riparian soils,Masters Thesis,2010,16-Jan-24,Y,,Canada,Prarie Pothole ,"southeastern Alberta, southern Saskatchewan and southwestern Manitoba","Reference, Restored",wetland,freshwater,Agriculture and aquaculture,Agricultural drainage,1989-1997,installing ditch plug ,3-11 years
57,A108,236,"Cater et al., 2015",The Use of the Inupiaq Technique of Tundra Sodding to Rehabilitate Wetlands in Northern Alaska,The Arctic Institute of North America,2015,16-Jan-24,Y,,USA,Alaska,North Slope,"Reference, Restored",fen,freshwater,Human intrusion and disturbance,oil spill,2006-2010,"tundra sodding, excavating and flushing with water",5-6 years
58,A109,239,"Chamberlain and Barnhart, 1993","EARLY USE BY FISH OF A MITIGATION SALT-MARSH, HUMBOLDT BAY, CALIFORNIA",Estuaries and Coasts,1993,30-Jan-24,Y,,USA,California,Humboldt Bay,"Reference, Restored",marsh,saline,Multiple,agriculture/industry (sawmill),1980,dike breach,1-2 years
59,A110,242,"Chapple et al., 2017",Climate Variability Structures Plant Community Dynamics in Mediterranean Restored and Reference Tidal Wetlands,Water,2017,30-Jan-24,Y,,USA,California,San Francisco Bay,"Reference, Restored",marsh,saline,Not specified,land conversion,1976,dredge material filling,14-29 years
60,A111,248,"Chen et al., 2017",Carbon and nitrogen storage of a restored wetland at Illinois' Emiquon Preserve: potential for carbon sequestration,River Floodplain Restoration,2017,17-Jan-24,Y,,USA,Illinois,Emiquon Preserve,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,drained and land converted to croplands,2007,discontinuing drainage operations,2-4 years
61,A112,250,"Christen et al., 2016",Summertime greenhouse gas fluxes from an urban bog undergoing restoration through rewetting,Mires and Peat,2016,17-Jan-24,Y,,Canada,British Columbia,"Delta, Burns Bog Ecological Conservancy","Disturbed, Restored, Reference",bog,unclear,Multiple,"peat mining, agriculture, recreation ","2008-2009, 2012","rewetting, installation of dams and weirs within historic drainage ditches",2-6 years 
62,A113,253,Clark 2007,"Plant and herpetofaunal responses to wetland restoration on Pinckney Island National Wildlife Refuge, Beaufort County, South Carolina",Masters Thesis- Chapter IV (results),2007,18-Jan-24,Y,,USA,South Carolina,Pickney Island,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,agricultural use,2004,filling drainage ditches,1 year
63,A113,253,Clark 2007,"Plant and herpetofaunal responses to wetland restoration on Pinckney Island National Wildlife Refuge, Beaufort County, South Carolina",Masters Thesis- Chapter IV (results),2007,18-Jan-24,Y,,USA,South Carolina,Pickney Island,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,agricultural use,2004,filling drainage ditches,1 year
64,A116,258,"Clifton et al., 2018",Floristic Development in Three Oligohaline Tidal Wetlands after Dike Removal,Ecological Restoration,2018,22-Jan-24,Y,,USA,Washington,"South Fork, Skagit River Delta","Reference, Restored",marsh,saline,Multiple,"farming, invasive species, hunting, wildlife viewing (ecotourism?)","1999-2000, 2006-2009, 2012",dike removal/breaching and channel creation,0-13 years
65,A119,265,"Collinge et al., 2011",Long-term dynamics of biotic and abiotic resistance to exotic species invasion in restored vernal pool plant communities,Ecological Applications,2011,30-Jan-24,Y,,USA,California,Solano County,"Reference, Restored",wetland,freshwater,Multiple,agriculture/urban development,1999,"construction of vernal pools in areas they had previously been, seeding treatments",3-9 years
66,A120,266,"Collinge et al., 2013",A Long-Term Comparison of Hydrology and Plant Community Composition in Constructed Versus Naturally Occurring Vernal Pools,Restoration Ecology,2013,30-Jan-24,Y,,USA,California,Solano County,"Reference, Restored",wetland,freshwater,Multiple,agriculture/urban development,1999-2001,"seeding constructed pools to restore VPE, replanted endangered species (Lasthenia conjugens) ",1-9 years
67,A123,275,Cook 2016,"Spatial and Temporal Trends of Fishes and Aquatic Invertebrates in a Restored Salt Marsh, San Francisco Estuary, CA - Chapter 1 ",Masters Thesis,2016,30-Jan-24,Y,,USA,California,San Francisco Bay Estuary,"Reference, Restored",marsh,saline,Residential and commercial development,land developed for salt production ,1980s,levee breaching,unclear
68,A123,275,Cook 2016,"Spatial and Temporal Trends of Fishes and Aquatic Invertebrates in a Restored Salt Marsh, San Francisco Estuary, CA - Chapter 1 ",Masters Thesis,2016,30-Jan-24,Y,,USA,California,San Francisco Bay Estuary,"Reference, Restored",marsh,saline,Residential and commercial development,land developed for salt production ,1980s,levee breaching,unclear
69,A123,275,Cook 2016,"Spatial and Temporal Trends of Fishes and Aquatic Invertebrates in a Restored Salt Marsh, San Francisco Estuary, CA - Chapter 1 ",Masters Thesis,2016,30-Jan-24,Y,,USA,California,San Francisco Bay Estuary,"Reference, Restored",marsh,saline,Residential and commercial development,land developed for salt production ,1980s,levee breaching,unclear
70,A124a,277,"Cooper and MacDonald, 2001","Restoring the vegetation of mined peatlands in the southern Rocky Mountains of Colorado, USA",Restoration Ecology,2001,30-Jan-24,Y,    ,USA,Colorado,South Park,"Reference, Restored",fen,freshwater,Energy production and mining,peat mining,1985,cessation of mining ,7-40 years
71,A124b,277,"Cooper and MacDonald, 2001","Restoring the vegetation of mined peatlands in the southern Rocky Mountains of Colorado, USA",Restoration Ecology,2001,30-Jan-24,Y,,USA,Colorado,South Park,"Reference, Restored",fen,freshwater,Biological resource use,peat mining,1991-1992,regeneration experiments - seedling transplants and rhizome transplants,0-2 years
72,A126,280,"Cooper et al., 2017","Mountain wetland restoration: The role of hydrologic regime and plant introductions after 15 years in the Colorado Rocky Mountains, USA",Ecological Engineering,2017,30-Jan-24,Y,,USA,Colorado,Mountain Village ,"Reference, Restored",wetland,freshwater,Residential and commercial development,filled in due to golf course and ski area development,1997-2001,"Fill removed/re-graded to match reference surface elevation, restore hydrological connectivity/ground water discharge, sites planted with seedlings to match reference sites",0-12 years
73,A126,280,"Cooper et al., 2017","Mountain wetland restoration: The role of hydrologic regime and plant introductions after 15 years in the Colorado Rocky Mountains, USA",Ecological Engineering,2017,30-Jan-24,Y,,USA,Colorado,Mountain Village ,"Reference, Restored",wetland,freshwater,Residential and commercial development,filled in due to golf course and ski area development,1997-2001,"Fill removed/re-graded to match reference surface elevation, restore hydrological connectivity/ground water discharge, sites planted with seedlings to match reference sites",0-12 years
74,A131,287,"Craig et al., 2014",Rearing in natural and recovering tidal wetlands enhances growth and life-history diversity of Columbia Estuary tributary coho salmon Oncorhynchus kisutch population,Fish Biology ,2014,31-Jan-24,Y,,USA,Washington,Grays River,"Reference, Restored",wetland,freshwater,Multiple,channelization and leveeing,unclear,"also unclear, says ""recent restoration efforts""",unclear
75,A132,288,"Crandall et al., 2011","Response of larval lost river and shortnose suckers to wetland restoration at the Williamson River Delta, Oregon",Transactions of the American Fisheries Society,2011,31-Jan-24,Y,,USA,Oregon,Williamson River Delta,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,agriculture,"1997-2003, 2000","levee leveled, levee breaching","6-7 years, 3-4 years"
76,A136,297,"D'Acunha et al., 2018",Ecohydrological responses to rewetting of a highly impacted raised bog ecosystem,Ecohydrology,2018,01-Feb-24,Y,,Canada,British Columbia,Delta Burns Bog,"Disturbed, Restored",peatland,freshwater,Multiple,"peat mining, development of drainage networks and trails, fire","2001, 2005","rewetting, damn installation","0-16 years, 4-16 years"
77,A137,300,"D'Acunha et al., 2013",Using functional diversity as an indicator of restoration success of a cut-over bog,Ecology Engineering,2013,01-Feb-24,Y,,Canada,Quebec,"Bois-des-Bel Bog, south of the St. Lawrence River","Disturbed, Restored, Reference",peatland,freshwater,Energy production and mining,peat mining,1999-2000,"moss layer transfer technique, ditch blocking","prior to restoration, 1, 3, 5, 7 and 10 years"
78,A138,303,Danyluk 2001,"Tree removal as a tool of ecological restoration in Burns Bog, Delta, B.C., Chapter 1 pp. 46",Masters Thesis ,2001,01-Feb-24,Y,,Canada,British Columbia,Delta Burns Bog ,"Disturbed, Restored",peatland,freshwater,Multiple,"peat mining, fire",2007,wood/clay damn to mitigate water loss,3-4 years
79,A138,303,Danyluk 2001,"Tree removal as a tool of ecological restoration in Burns Bog, Delta, B.C., Chapter 1 pp. 46",Masters Thesis ,2001,01-Feb-24,Y,,Canada,British Columbia,Delta Burns Bog ,"Disturbed, Restored",peatland,freshwater,Multiple,"peat mining, fire",2007,wood/clay damn to mitigate water loss,3-4 years
80,A140,307,"David et al., 2014",Foraging and Growth Potential of Juvenile Chinook Salmon after Tidal Restoration of a Large River Delta,Transactions of the American Fisheries Society,2014,02-Feb-24,Y,,USA,Washington,Nisqually River Delta,"Reference, Restored",marsh,saline,Agriculture and aquaculture,diked and converted to pastureland,"2006, 2009",dike removal ,"1-3 years, 4-6 years"
